id,hotel_id,room_type_id,room_number,floor,is_blockchain_enabled,status
200,32,43,101,1,1,AVAILABLE
201,32,43,102,1,1,AVAILABLE
202,32,43,103,1,1,AVAILABLE
203,32,43,104,1,1,AVAILABLE
204,32,43,105,1,1,AVAILABLE
205,32,43,106,1,1,AVAILABLE
206,32,43,107,1,1,AVAILABLE
207,32,43,108,1,1,AVAILABLE
208,32,43,109,1,1,AVAILABLE
209,32,43,110,1,1,AVAILABLE
210,32,43,201,2,1,AVAILABLE
211,32,43,202,2,1,AVAILABLE
212,32,43,203,2,1,AVAILABLE
213,32,43,204,2,1,AVAILABLE
214,32,43,205,2,1,AVAILABLE
215,32,43,206,2,1,AVAILABLE
216,32,43,207,2,1,AVAILABLE
217,32,43,208,2,1,AVAILABLE
218,32,43,209,2,1,AVAILABLE
219,32,43,210,2,1,AVAILABLE
220,32,44,301,3,1,AVAILABLE
221,32,44,302,3,1,AVAILABLE
222,32,44,303,3,1,AVAILABLE
223,32,44,304,3,1,AVAILABLE
224,32,44,305,3,1,AVAILABLE
225,32,44,306,3,1,AVAILABLE
226,32,44,307,3,1,AVAILABLE
227,32,44,308,3,1,AVAILABLE
228,32,44,309,3,1,AVAILABLE
229,32,44,310,3,1,AVAILABLE
230,32,45,401,4,1,AVAILABLE
231,32,45,402,4,1,AVAILABLE
232,32,45,403,4,1,AVAILABLE
233,32,45,404,4,1,AVAILABLE
234,32,45,405,4,1,AVAILABLE
235,32,46,M-ALPHA-1,5,1,AVAILABLE
236,32,46,M-ALPHA-2,5,1,AVAILABLE
237,32,46,M-ALPHA-3,5,1,AVAILABLE
238,32,47,M-BETA-1,6,1,AVAILABLE
239,32,47,M-BETA-2,6,1,AVAILABLE
240,32,48,M-GAMMA-1,7,1,AVAILABLE
